what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429596139037
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429596141079
activated,view,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit.ResultView,1429596142127
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1429596148179
executed,command,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit.junitShortcut.run,1429596150428
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429596152144
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429596339366
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429596339786
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429596342462
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429596344332
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429596348117
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429596349157
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429596349961
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429596352125
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1429596352169
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1429596352181
started,bundle,org.eclipse.mylyn.pde.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.pde.ui,1429596352197
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1429596352201
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429596352517
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1429596353833
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1429596353845
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.206.v20090115,org.eclipse.jst.server.generic.jboss,1429596353893
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1429596353901
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1429596353905
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,org.eclipse.jst.server.websphere.core,1429596353909
