what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.ClassFileEditor,1428770766381
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.ClassFileEditor,1428770766568
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1428770768771
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.ClassFileEditor,1428770768803
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1428770769490
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1428770781133
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1428770784790
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1428770786212
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1428770792605
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1428770793589
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1428770964204
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1428770965782
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1428770967313
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1428770973519
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1428770976144
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1428770977035
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1428770979363
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1428770987426
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1428770988457
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1428770995256
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1428771000225
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1428771003928
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1428771006538
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1428771007553
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1428771008975
