what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426004787724
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426004791199
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426004792815
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426004796803
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426004798243
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426004802272
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426004804904
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426004808456
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426004810180
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426004814507
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426004816295
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426004820567
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426004823007
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1426004823539
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1426004823595
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1426004825239
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1426004825623
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1426004830220
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1426004832314
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1426004852501
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1426004854389
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426004857306
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426004860234
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1426004860638
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1426004860690
