what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1425993289208
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1425993294146
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1425993296411
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1425993300443
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1425993301630
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1425993305990
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1425993306927
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1425993308429
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1425993309413
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1425993311413
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1425993330009
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.refresh,1425993335588
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1425993343072
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1425993343463
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1425993344025
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1425993346775
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1425993348433
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1425993348668
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1425993348762
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1425993351340
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1425993353324
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1425993359074
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1425993362965
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1425993364152
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1425993364199
