what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1426002307332
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426002308276
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426002308962
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1426002308970
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1426002315838
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426002316946
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426002332137
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1426002333489
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426002336390
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426002338126
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426002343834
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426002344998
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426002348762
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426002349972
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426002354301
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426002355529
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426002359149
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426002360293
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426002364237
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426002365493
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1426002367270
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1426002368898
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1426002369546
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1426002370100
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1426002376684
