what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1429621271081
executed,command,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit.junitShortcut.run,1429621274097
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429621275222
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429621276660
activated,view,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit.ResultView,1429621278675
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429621283115
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429621289068
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429621289084
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429621290943
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1429621291959
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1429621293193
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1429621293427
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1429621294490
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1429621297584
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1429621297771
opened,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1429621299474
executed,command,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit.junitShortcut.run,1429621302257
activated,view,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit.ResultView,1429621303867
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429621310835
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429621315476
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1429621316695
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1429621319226
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1429621319507
executed,command,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit.junitShortcut.run,1429621321931
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429621323947
