what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1426004550100
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1426004551404
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1426004551964
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1426004557433
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1426004558989
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426004561605
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426004563301
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1426004563741
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1426004563769
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1426004565253
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1426004565557
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1426004582977
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1426004586173
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426004592067
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426004595680
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426004599936
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426004601364
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426004605068
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426004606728
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426004610207
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426004611619
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426004615443
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426004618111
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426004623191
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426004626644
