what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1431277197864
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1431277200048
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1431277205365
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1431277208945
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1431277209885
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1431277212877
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1431277216067
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1431277217052
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1431277219916
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1431277222552
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1431277223856
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1431277226552
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1431277229816
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1431277231145
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1431277233561
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1431277235863
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1431277236723
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1431277239767
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1431277242303
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1431277244256
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1431277247012
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1431277249108
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1431277249924
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1431277253076
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1431277255126
