what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1428766165139
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.textStart,1428766166358
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1428766170030
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1428766171202
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1428766173405
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1428766173813
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1428766176438
executed,command,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit.junitShortcut.run,1428766181767
activated,view,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit.ResultView,1428766182126
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1428766193940
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1428766198581
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1428766205159
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1428766210878
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1428766217833
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1428766230020
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1428766237882
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1428766241538
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1428766247585
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1428766247929
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1428766252569
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1428766254148
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.202.v200901292145,org.eclipse.wst.common.frameworks.ui,1428766255618
started,bundle,org.eclipse.wst.validation.ui,1.2.4.v200901291336,org.eclipse.wst.validation.ui,1428766255618
started,bundle,org.eclipse.wst.dtd.core,1.1.200.v200805140200,org.eclipse.wst.dtd.core,1428766255853
started,bundle,org.eclipse.wst.sse.ui,1.1.4.v200901202345,org.eclipse.wst.sse.ui,1428766255962
