what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1426002117475
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426002118360
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426002125568
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1426002126154
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1426002127650
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426002133847
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426002135779
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426002140899
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426002142459
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426002146086
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426002147166
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1426002172774
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1426002173974
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426002177282
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1426002179918
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1426002181398
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1426002182442
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1426002184630
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1426002187137
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1426002190317
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1426002190337
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1426002190345
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1426002190353
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1426002190357
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1426002190373
