what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1429630880387
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1429630880637
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1429630883012
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1429630883434
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1429630884980
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429630886355
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429630889012
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429630889090
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429630890106
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1429630893059
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1429630894637
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1429630894965
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1429630895496
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1429630898387
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1429630899215
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1429630899856
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1429630900483
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1429630900686
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1429630901342
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1429630902092
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1429630902670
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429630905170
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429630906920
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429630909498
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429630910967
