what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1429625448355
executed,command,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit.junitShortcut.run,1429625450277
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429625451574
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429626501098
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429626501207
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429626502395
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1429626504410
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1429626510254
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1429626513692
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1429626525616
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1429626537633
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429626539024
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429626540805
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429626547665
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429626548946
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429626555196
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429626563120
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429626568464
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429626570589
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1429626573386
executed,command,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit.junitShortcut.run,1429626576761
activated,view,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit.ResultView,1429626579185
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1429626582810
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1429626588310
executed,command,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit.junitShortcut.run,1429626592248
