what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.selectAll,1431523321844
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1431523322268
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1431523323404
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1431523329409
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1431523331317
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.selectAll,1431523332261
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1431523332573
started,bundle,org.eclipse.mylyn.java.tasks,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.tasks,1431523333169
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.15,org.tigris.subversion.clientadapter.javahl,1431523333257
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.12,org.tigris.subversion.clientadapter.svnkit,1431523333269
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1431523335985
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1431523790109
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1431523828216
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1431523836675
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1431523837771
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1431523905559
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1431523908543
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1431523909651
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1431523940574
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1431523940938
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1431524052811
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1431524055499
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1431524055559
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1431524065650
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1431524066410
